Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range

SE,Sea Limited,60.73,+14.93,+32.60%,13.927M,6.57M,34.114B,N/A,
AZTA,"Azenta, Inc.",60.42,+13.84,+29.71%,1.95M,"779,382",4.533B,2.04,
BILI,Bilibili Inc.,15.88,+3.00,+23.29%,8.119M,7.484M,6.081B,N/A,
TME,Tencent Music Entertainment Group,5.43,+0.99,+22.13%,11.639M,9.46M,9.213B,19.41,
SHLS,"Shoals Technologies Group, Inc.",27.34,+4.87,+21.67%,2.903M,1.62M,3.08B,273.40,
PSNYW,Polestar Automotive Holding UK PLC,1.4499,+0.2699,+22.87%,"270,098","192,275",15.642B,N/A,
GDS,GDS Holdings Limited,16.17,+2.62,+19.34%,1.119M,1.446M,3.081B,N/A,
NU,Nu Holdings Ltd.,5.09,+0.74,+16.90%,29.522M,31.848M,23.779B,N/A,
MNSO,MINISO Group Holding Limited,10.73,+1.61,+17.60%,1.806M,"697,485",3.397B,28.99,
BABAF,Alibaba Group Holding Limited,10.33,+1.34,+14.95%,"84,076","197,560",224.205B,39.73,
HKCVF,HK Electric Investments and HK Electric Investments Limited,0.6880,+0.0880,+14.67%,"30,000",149,7.476B,17.20,
PATH,UiPath Inc.,13.77,+1.72,+14.23%,4.848M,7.407M,7.565B,N/A,
DAVA,Endava plc,79.44,+9.82,+14.11%,"253,909","269,370",4.509B,42.94,
IQ,"iQIYI, Inc.",3.0050,+0.3450,+12.97%,9.879M,10.571M,2.588B,N/A,
PACB,"Pacific Biosciences of California, Inc.",11.43,+1.30,+12.79%,3.421M,6.292M,2.584B,N/A,
TSM,Taiwan Semiconductor Manufacturing Company Limited,82.12,+9.32,+12.80%,23.26M,12.818M,425.878B,17.55,
SBNY,Signature Bank,157.41,+18.64,+13.43%,"656,021","888,146",9.905B,7.69,
TRUP,"Trupanion, Inc.",64.71,+7.05,+12.23%,"141,553","625,514",2.646B,N/A,
LU,Lufax Holding Ltd,2.1050,+0.2150,+11.38%,13.517M,10.147M,4.812B,2.39,
ARRY,"Array Technologies, Inc.",21.55,+2.26,+11.72%,2.739M,3.946M,3.243B,N/A,
APPS,"Digital Turbine, Inc.",20.35,+2.15,+11.81%,1.612M,2.778M,2.015B,33.92,
QFIN,"360 DigiTech, Inc.",16.97,+1.73,+11.35%,1.059M,"945,912",2.635B,3.66,
BABA,Alibaba Group Holding Limited,79.21,+7.88,+11.05%,23.381M,22.212M,213.897B,38.27,
EDU,New Oriental Education & Technology Group Inc.,28.37,+2.68,+10.43%,1.63M,2.025M,5.273B,N/A,
CD,Chindata Group Holdings Limited,7.30,+0.68,+10.36%,"520,991",2.454M,2.676B,38.39,
